ARZ,Arizona,Diamondbacks,Bank One Ballpark / Chase Field,1998,2017
ATL,Atlanta,Braves,Atlanta Fulton County Stadium,1969,1996
ATL,Atlanta,Braves,Turner Field,1997,2017
BAL,Baltimore,Orioles,Memorial Stadium,1969,1991
BAL,Baltimore,Orioles,Camden Yards,1992,2017
BOS,Boston,Red Sox,Fenway Park,1969,2017
CHC,Chicago,Cubs,Wrigley Field,1969,2017
CHW,Chicago,White Sox,Comiskey Park,1969,1990
CHW,Chicago,White Sox,Comiskey Park II / US Cellular Field,1991,2017
CIN,Cincinnati,Reds,Crossley Field,1969,1969
CIN,Cincinnati,Reds,Riverfront Stadium,1970,2002
CIN,Cincinnati,Reds,Great American Ballpark,2003,2017
CLE,Cleveland,Indians,Cleveland Stadium,1969,1993
CLE,Cleveland,Indians,Jacobs Field / Progressive Field,1994,2017
COL,Colorado,Rockies,Mile High Stadium,1993,1994
COL,Colorado,Rockies,Coors Field,1995,2017
DET,Detroit,Tigers,Tiger Stadium,1969,1999
DET,Detroit,Tigers,Comerica Park,2000,2017
HOU,Houston,Astros,Astrodome,1969,1999
HOU,Houston,Astros,Minute Maid Park,2000,2017
KCR,Kansas City,Royals,Municipal Stadium,1969,1972
KCR,Kansas City,Royals,Kaufmann Stadium / Royals Stadium,1973,2017
LAA,Anaheim,Angels,Angel Stadium,1969,2017
LAD,Los Angeles,Dodgers,Dodger Stadium,1969,2017
FLA,Florida,Marlins,Pro Player Stadium Joe Robbie Stadium,1993,2011
FLA,Florida,Marlins,Marlins Park,2012,2017
SEP,Seattle,Pilots,Sick's Stadium,1969,1969
MIL,Milwaukee,Brewers,Milwaukee County Stadium,1970,2000
MIL,Milwaukee,Brewers,Miller Park,2001,2017
MIN,Minnesota,Twins,Metropolitan Stadium,1969,1981
MIN,Minnesota,Twins,Metrodome,1982,2009
MIN,Minnesota,Twins,Target Field,2010,2017
MTL,Montreal,Expos,Jarry Park,1969,1976
MTL,Montreal,Expos,Olympic Stadium,1977,2004
NYM,New York,Mets,Shea Stadium,1969,2008
NYM,New York,Mets,Citi Field,2009,2017
NYY,New York,Yankees,Yankee Stadium,1969,2008
NYY,New York,Yankees,Yankee Stadium II,2009,2017
OAK,Oakland,Athletics,Oakland Collusiem,1969,2017
PHI,Philadelphia,Phillies,Connie Mack Stadium / Shibe Park,1969,1970
PHI,Philadelphia,Phillies,Veterans Stadium,1971,2003
PHI,Philadelphia,Phillies,Citizens Bank,2004,2017
PIT,Pittsburgh,Pirates,Forbes Field,1969,1969
PIT,Pittsburgh,Pirates,Three Rivers Stadium,1970,2000
SDP,Pittsburgh,Pirates,PNC Park,2001,2017
SDP,San Diego,Padres,San Diego Stadium / Qualcomm Stadium,1969,2003
SDP,San Diego,Padres,Petco Park,2004,2017
SEA,Seattle,Mariners,Kingdome,1977,1998
SEA,Seattle,Mariners,Safeco Field,1999,2017
SFG,San Francisco,Giants,Candlestick Park,1969,1999
SFG,San Francisco,Giants,AT&T Park,2000,2017
STL,St. Louis,Cardinals,Busch Stadium II,1969,2005
STL,St. Louis,Cardinals,Busch Stadium III,2006,2017
TBR,Tampa Bay,Rays,Tropicana Field,1998,2017
TEX,Texas,Rangers,Arlington Stadium,1972,1993
TEX,Texas,Rangers,Ballpark in Arlington,1994,2017
TOR,Toronto,Blue Jays,Exhibition Stadium,1977,1988
TOR,Toronto,Blue Jays,Skydome / Rogers Centre,1989,2017
WAS,Washington,Senators,RFK Stadium,1969,1971
WSN,Washington,Nationals,RFK Stadium,2005,2007
WSN,Washington,Nationals,National Park,2008,2017
