ARZ,National,West,1998,2017
ATL,National,West,1969,1993
ATL,National,East,1994,2017
BAL,American,East,1969,2017
BOS,American,East,1969,2017
CHC,National,East,1969,1993
CHC,National,Central,1994,2017
CHW,American,West,1969,1993
CHW,American,Central,1994,2017
CIN,National,West,1969,1993
CIN,National,Central,1994,2017
CLE,American,East,1969,1993
CLE,American,Central,1994,2017
COL,National,West,1993,2017
DET,American,East,1969,1997
DET,American,Central,1998,2017
FLA,National,East,1993,2017
HOU,National,West,1969,1993
HOU,National,Central,1994,2012
HOU,American,West,2013,2017
KCR,American,West,1969,1993
KCR,American,Central,1994,2017
LAA,American,West,1969,2017
LAD,National,West,1969,2017
SEP,American,West,1969,1969
MIL,American,West,1970,1971
MIL,American,East,1972,1993
MIL,American,Central,1994,1997
MIL,National,Central,1998,2017
MIN,American,West,1969,1993
MIN,American,Central,1994,2017
MTL,National,East,1969,2004
NYM,National,East,1969,2017
NYY,American,East,1969,2017
OAK,American,West,1969,2017
PHI,National,East,1969,2017
PIT,National,East,1969,1993
PIT,National,Central,1994,2017
SDP,National,West,1969,2017
SEA,American,West,1977,2017
SFG,National,West,1969,2017
STL,National,East,1969,1993
STL,National,Central,1994,2017
TBR,American,East,1998,2017
TEX,American,West,1972,2017
TOR,American,East,1977,2017
WAS,American,East,1969,1971
WSN,National,East,2005,2017
